,rank,country,participant,result,discipline,event,olympic_host,olympic_game_year,gender
622,1,USA,herman harold brix,15.75,Athletics,shot put,Amsterdam,1928,men
623,2,GER,emil hirschfeld,15.72,Athletics,shot put,Amsterdam,1928,men
643,0,JPN,mikio oda,15.21,Athletics,triple jump,Amsterdam,1928,men
644,1,USA,lee casey,15.17,Athletics,triple jump,Amsterdam,1928,men
645,2,FIN,vilho immanuel tuulos,15.11,Athletics,triple jump,Amsterdam,1928,men
0,0,USA,george harold kojac,00:01:08.200,Swimming,100m backstroke,Amsterdam,1928,men
1,1,USA,walter laufer,00:01:10.000,Swimming,100m backstroke,Amsterdam,1928,men
2,2,USA,paul wyatt,00:01:12.000,Swimming,100m backstroke,Amsterdam,1928,men
14,0,NED,maria johanna philipsen-braun,00:01:22.000,Swimming,100m backstroke,Amsterdam,1928,women
15,1,GBR,ellen elizabeth king,00:01:22.200,Swimming,100m backstroke,Amsterdam,1928,women
16,2,GBR,margaret joyce cooper,00:01:22.800,Swimming,100m backstroke,Amsterdam,1928,women
25,0,USA,johnny weissmuller,58.600,Swimming,100m freestyle,Amsterdam,1928,men
26,1,HUN,istvan barany,59.800,Swimming,100m freestyle,Amsterdam,1928,men
27,2,JPN,katsuo takaishi,00:01:00.000,Swimming,100m freestyle,Amsterdam,1928,men
44,0,USA,albina lucy osipowich,00:01:11.000,Swimming,100m freestyle,Amsterdam,1928,women
45,1,USA,eleanor saville,00:01:11.400,Swimming,100m freestyle,Amsterdam,1928,women
46,2,GBR,margaret joyce cooper,00:01:13.600,Swimming,100m freestyle,Amsterdam,1928,women
58,0,SWE,arne borg,00:19:51.800,Swimming,1500m freestyle,Amsterdam,1928,men
59,1,AUS,andrew murray charlton,00:20:02.600,Swimming,1500m freestyle,Amsterdam,1928,men
60,2,USA,buster crabbe,00:20:28.800,Swimming,1500m freestyle,Amsterdam,1928,men
72,0,JPN,yoshiyuki tsuruta,00:02:48.800,Swimming,200m breaststroke,Amsterdam,1928,men
73,1,GER,erich rademacher,00:02:50.600,Swimming,200m breaststroke,Amsterdam,1928,men
74,2,PHI,teofilo yldefonso,00:02:56.400,Swimming,200m breaststroke,Amsterdam,1928,men
82,0,GER,hilde schrader,00:03:12.600,Swimming,200m breaststroke,Amsterdam,1928,women
83,1,NED,mietje baron,00:03:15.200,Swimming,200m breaststroke,Amsterdam,1928,women
84,2,GER,charlotte mühe,00:03:17.600,Swimming,200m breaststroke,Amsterdam,1928,women
89,0,ARG,alberto zorrilla,00:05:01.600,Swimming,400m freestyle,Amsterdam,1928,men
90,1,AUS,andrew murray charlton,00:05:03.600,Swimming,400m freestyle,Amsterdam,1928,men
91,2,SWE,arne borg,00:05:04.600,Swimming,400m freestyle,Amsterdam,1928,men
102,0,USA,martha norelius,00:05:42.800,Swimming,400m freestyle,Amsterdam,1928,women
103,1,NED,maria johanna philipsen-braun,00:05:57.800,Swimming,400m freestyle,Amsterdam,1928,women
104,2,USA,josephine mckim,00:06:00.200,Swimming,400m freestyle,Amsterdam,1928,women
110,0,,,00:04:47.600,Swimming,4x100m freestyle relay,Amsterdam,1928,women
111,1,,,00:05:02.800,Swimming,4x100m freestyle relay,Amsterdam,1928,women
112,2,,,00:05:13.400,Swimming,4x100m freestyle relay,Amsterdam,1928,women
0,0,GER,kurt helbig,322.5,Weightlifting,60-67.5kg lightweight,Amsterdam,1928,men
1,1,AUT,hans haas,322.5,Weightlifting,60-67.5kg lightweight,Amsterdam,1928,men
2,2,FRA,fernand arnout,302.5,Weightlifting,60-67.5kg lightweight,Amsterdam,1928,men
18,0,AUT,franz joseph andrysek,287.5,Weightlifting,60kg featherweight,Amsterdam,1928,men
19,1,ITA,pierino gabetti,282.5,Weightlifting,60kg featherweight,Amsterdam,1928,men
20,2,GER,hans wölpert,282.5,Weightlifting,60kg featherweight,Amsterdam,1928,men
40,0,FRA,roger francois,335,Weightlifting,67.5-75kg middleweight,Amsterdam,1928,men
41,1,ITA,carlo galimberti,332.5,Weightlifting,67.5-75kg middleweight,Amsterdam,1928,men
42,2,NED,august scheffer,327.5,Weightlifting,67.5-75kg middleweight,Amsterdam,1928,men
63,0,EGY,el sayed mohamed nosseir,355,Weightlifting,75-82.5kg total lightheavyweight,Amsterdam,1928,men
64,1,FRA,louis hostin,352.5,Weightlifting,75-82.5kg total lightheavyweight,Amsterdam,1928,men
65,2,NED,jan verheijen,337.5,Weightlifting,75-82.5kg total lightheavyweight,Amsterdam,1928,men
78,0,GER,josef strassberger,372.5,Weightlifting,82.5kg heavyweight,Amsterdam,1928,men
79,1,EST,arnold luhaäär,360,Weightlifting,82.5kg heavyweight,Amsterdam,1928,men
80,2,TCH,jaroslav skobla,357.5,Weightlifting,82.5kg heavyweight,Amsterdam,1928,men
0,0,FIN,paavo nurmi,00:31:45.800,Athletics,10000m,Antwerp,1920,men
1,1,FRA,joseph guillemot,31:50.5est,Athletics,10000m,Antwerp,1920,men
2,2,GBR,james wilson,31:56est,Athletics,10000m,Antwerp,1920,men
33,0,ITA,ugo frigerio,00:48:06.200,Athletics,10000m walk,Antwerp,1920,men
34,1,USA,joseph pearman,49:20.0est / at 200 metres,Athletics,10000m walk,Antwerp,1920,men
35,2,GBR,charlie gunn,49:23.0est / at 12 metres,Athletics,10000m walk,Antwerp,1920,men
58,0,USA,charles paddock,10.800,Athletics,100m,Antwerp,1920,men
59,1,USA,morris kirksey,10.9est / at ½ metre,Athletics,100m,Antwerp,1920,men
60,2,GBR,harry edward,10.9est / chest behind,Athletics,100m,Antwerp,1920,men
68,0,CAN,earl john thomson,14.800,Athletics,110m hurdles,Antwerp,1920,men
69,1,USA,harold barron,15.1est / at 2 metres,Athletics,110m hurdles,Antwerp,1920,men
70,2,USA,frederick murray,15.3est / at 2 metres,Athletics,110m hurdles,Antwerp,1920,men
82,0,GBR,albert hill,00:04:01.800,Athletics,1500m,Antwerp,1920,men
83,1,GBR,philip john noel-baker,4:02.4est / at 3 metres,Athletics,1500m,Antwerp,1920,men
84,2,USA,marion lawrence shields,4:04.3est / at 8 metres,Athletics,1500m,Antwerp,1920,men
111,0,USA,allen woodring,22.000,Athletics,200m,Antwerp,1920,men
112,1,USA,charles paddock,22.0est / at 10 cm,Athletics,200m,Antwerp,1920,men
113,2,GBR,harry edward,22.2est / at 1 metre,Athletics,200m,Antwerp,1920,men
122,0,GBR,percy hodge,00:10:00.400,Athletics,3000m steeplechase,Antwerp,1920,men
123,1,USA,pat flynn,10:22est / at 100 metres,Athletics,3000m steeplechase,Antwerp,1920,men
124,2,ITA,ernesto ambrosini,10:33est / at 50 metres,Athletics,3000m steeplechase,Antwerp,1920,men
141,0,,,10,Athletics,3000m team,Antwerp,1920,men
142,1,,,20,Athletics,3000m team,Antwerp,1920,men
143,2,,,24,Athletics,3000m team,Antwerp,1920,men
146,0,ITA,ugo frigerio,00:13:14.200,Athletics,3000m walk,Antwerp,1920,men
147,1,AUS,george parker,13:21.0est / at 25 metres,Athletics,3000m walk,Antwerp,1920,men
148,2,USA,richard frederick remer,13:23.7est / at 10 metres,Athletics,3000m walk,Antwerp,1920,men
166,0,USA,frank loomis,54.000,Athletics,400m hurdles,Antwerp,1920,men
167,1,USA,john kelley norton,54.6est / at 4 metres,Athletics,400m hurdles,Antwerp,1920,men
168,2,USA,gus desch,54.8est / at 1 metre,Athletics,400m hurdles,Antwerp,1920,men
182,0,RSA,bevil gordon d'urban rudd,49.600,Athletics,400m,Antwerp,1920,men
183,1,GBR,guy montagu butler,50.1est / at 4 metres,Athletics,400m,Antwerp,1920,men
184,2,SWE,nils engdahl,50.2est / close behind,Athletics,400m,Antwerp,1920,men
208,0,,,42.200,Athletics,4x100m relay,Antwerp,1920,men
209,1,,,42.600,Athletics,4x100m relay,Antwerp,1920,men
210,2,,,42.8est / at 2 metres,Athletics,4x100m relay,Antwerp,1920,men
217,0,,,00:03:22.200,Athletics,4x400m relay,Antwerp,1920,men
218,1,,,3:23.4est / at 8 metres,Athletics,4x400m relay,Antwerp,1920,men
219,2,,,00:03:24.200,Athletics,4x400m relay,Antwerp,1920,men
229,0,FRA,joseph guillemot,00:14:55.600,Athletics,5000m,Antwerp,1920,men
230,1,FIN,paavo nurmi,00:15:00.000,Athletics,5000m,Antwerp,1920,men
231,2,SWE,erik backman,00:15:13.000,Athletics,5000m,Antwerp,1920,men
261,0,USA,pat mcdonald,11.265,Athletics,56lb weight throw 254kg,Antwerp,1920,men
262,1,USA,paddy ryan,10.965,Athletics,56lb weight throw 254kg,Antwerp,1920,men
263,2,SWE,carl johan lind,10.255,Athletics,56lb weight throw 254kg,Antwerp,1920,men
268,0,GBR,albert hill,00:01:53.400,Athletics,800m,Antwerp,1920,men
269,1,USA,earl eby,00:01:53.600,Athletics,800m,Antwerp,1920,men
270,2,RSA,bevil gordon d'urban rudd,1:53.6est,Athletics,800m,Antwerp,1920,men
285,0,FIN,paavo nurmi,00:27:15.000,Athletics,cross country individual,Antwerp,1920,men
286,1,SWE,erik backman,00:27:17.600,Athletics,cross country individual,Antwerp,1920,men
287,2,FIN,heikki liimatainen,00:27:37.000,Athletics,cross country individual,Antwerp,1920,men
347,0,,,10,Athletics,cross country team,Antwerp,1920,men
348,1,,,21,Athletics,cross country team,Antwerp,1920,men
349,2,,,23,Athletics,cross country team,Antwerp,1920,men
354,0,NOR,helge andreas løvland,690.4,Athletics,decathlon,Antwerp,1920,men
355,1,USA,brutus kerr hamilton,634.0,Athletics,decathlon,Antwerp,1920,men
356,2,SWE,bertil ohlson,677.2,Athletics,decathlon,Antwerp,1920,men
381,0,FIN,elmer konstantin niklander,44.685,Athletics,discus throw,Antwerp,1920,men
382,1,FIN,armas rudolf taipale,44.19,Athletics,discus throw,Antwerp,1920,men
383,2,USA,augustus pope,42.13,Athletics,discus throw,Antwerp,1920,men
403,0,USA,paddy ryan,52.875,Athletics,hammer throw,Antwerp,1920,men
404,1,SWE,carl johan lind,48.43,Athletics,hammer throw,Antwerp,1920,men
405,2,USA,basil bennett,48.23,Athletics,hammer throw,Antwerp,1920,men
411,0,USA,richmond landon,1.936,Athletics,high jump,Antwerp,1920,men
412,1,USA,harold muller,1.9,Athletics,high jump,Antwerp,1920,men
413,2,SWE,bo ekelund,1.9,Athletics,high jump,Antwerp,1920,men
427,0,FIN,jonni myyrä,65.78,Athletics,javelin throw,Antwerp,1920,men
428,1,FIN,urho pellervo peltonen,63.605,Athletics,javelin throw,Antwerp,1920,men
429,2,FIN,paavo johansson,63.095,Athletics,javelin throw,Antwerp,1920,men
437,0,SWE,r. william e. petersson,7.15,Athletics,long jump,Antwerp,1920,men
438,1,USA,carl johnson,7.095,Athletics,long jump,Antwerp,1920,men
439,2,SWE,erik abrahamsson,7.08,Athletics,long jump,Antwerp,1920,men
448,0,FIN,hannes kolehmainen,02:32:35.800,Athletics,marathon,Antwerp,1920,men
449,1,EST,jüri lossman,02:32:48.600,Athletics,marathon,Antwerp,1920,men
450,2,ITA,valerio arri,02:36:37.800,Athletics,marathon,Antwerp,1920,men
502,0,FIN,eero reino lehtonen,2,Athletics,pentathlon,Antwerp,1920,men
503,1,USA,everett lewis bradley,6,Athletics,pentathlon,Antwerp,1920,men
504,2,FIN,hugo jalmari lahtinen,1,Athletics,pentathlon,Antwerp,1920,men
524,0,USA,frank foss,4.09,Athletics,pole vault,Antwerp,1920,men
525,1,DEN,henry petersen,3.7,Athletics,pole vault,Antwerp,1920,men
526,2,USA,edwin myers,3.6,Athletics,pole vault,Antwerp,1920,men
535,0,FIN,frans wilhelmi pörhölä,14.81,Athletics,shot put,Antwerp,1920,men
536,1,FIN,elmer konstantin niklander,14.155,Athletics,shot put,Antwerp,1920,men
537,2,USA,harry liversedge,14.15,Athletics,shot put,Antwerp,1920,men
548,0,FIN,vilho immanuel tuulos,14.505,Athletics,triple jump,Antwerp,1920,men
549,1,SWE,folke jansson,14.48,Athletics,triple jump,Antwerp,1920,men
550,2,SWE,erik almlöf,14.27,Athletics,triple jump,Antwerp,1920,men
0,0,USA,warren paoa kealoha,00:01:15.200,Swimming,100m backstroke,Antwerp,1920,men
1,1,USA,raymond kegeris,00:01:16.800,Swimming,100m backstroke,Antwerp,1920,men
2,2,BEL,gerard blitz,00:01:19.000,Swimming,100m backstroke,Antwerp,1920,men
5,0,USA,duke paoa kahanamoku,00:01:01.400,Swimming,100m freestyle,Antwerp,1920,men
6,1,USA,pua kela kealoha,00:01:02.600,Swimming,100m freestyle,Antwerp,1920,men
7,2,USA,william harris,00:01:03.000,Swimming,100m freestyle,Antwerp,1920,men
10,0,USA,ethelda bleibtrey,00:01:13.600,Swimming,100m freestyle,Antwerp,1920,women
11,1,USA,irene guest,00:01:17.000,Swimming,100m freestyle,Antwerp,1920,women
12,2,USA,frances schroth,00:01:17.200,Swimming,100m freestyle,Antwerp,1920,women
17,0,USA,norman ross,00:22:23.200,Swimming,1500m freestyle,Antwerp,1920,men
18,1,CAN,george vernot,22:36.4est,Swimming,1500m freestyle,Antwerp,1920,men
19,2,AUS,frank de beaurepaire,23:04.0est,Swimming,1500m freestyle,Antwerp,1920,men
26,0,SWE,hakan malmrot,00:03:04.400,Swimming,200m breaststroke,Antwerp,1920,men
27,1,SWE,tor henning,00:03:09.200,Swimming,200m breaststroke,Antwerp,1920,men
28,2,FIN,arvo ossian aaltonen,00:03:12.200,Swimming,200m breaststroke,Antwerp,1920,men
32,0,USA,ethelda bleibtrey,00:04:34.000,Swimming,300m freestyle,Antwerp,1920,women
33,1,USA,margaret woodbridge,00:04:42.800,Swimming,300m freestyle,Antwerp,1920,women
34,2,USA,frances schroth,00:04:52.000,Swimming,300m freestyle,Antwerp,1920,women
39,0,SWE,hakan malmrot,00:06:31.800,Swimming,400m breaststroke,Antwerp,1920,men
40,1,SWE,tor henning,00:06:45.200,Swimming,400m breaststroke,Antwerp,1920,men
41,2,FIN,arvo ossian aaltonen,00:06:48.000,Swimming,400m breaststroke,Antwerp,1920,men
46,0,USA,norman ross,00:05:26.800,Swimming,400m freestyle,Antwerp,1920,men
47,1,USA,ludy langer,00:05:29.000,Swimming,400m freestyle,Antwerp,1920,men
48,2,CAN,george vernot,00:05:29.600,Swimming,400m freestyle,Antwerp,1920,men
53,0,,,00:05:11.600,Swimming,4x100m freestyle relay,Antwerp,1920,women
54,1,,,00:05:40.800,Swimming,4x100m freestyle relay,Antwerp,1920,women
55,2,,,00:05:43.600,Swimming,4x100m freestyle relay,Antwerp,1920,women
56,0,,,00:10:04.400,Swimming,4x200m freestyle relay,Antwerp,1920,men
57,1,,,00:10:25.400,Swimming,4x200m freestyle relay,Antwerp,1920,men
58,2,,,00:10:37.200,Swimming,4x200m freestyle relay,Antwerp,1920,men
0,0,EST,alfred neuland,OR,Weightlifting,60  675kg onetwo hand 3 events lightweight,Antwerp,1920,men
12,0,BEL,frans de haes,OR,Weightlifting,60kg onetwo hand 3 events featherweight,Antwerp,1920,men
26,0,FRA,henri gance,OR,Weightlifting,675  75kg onetwo hand 3 events middleweight,Antwerp,1920,men
36,0,FRA,ernest cadine,OR,Weightlifting,75  825kg onetwo hand 3 e lightheavyweight,Antwerp,1920,men
47,0,ITA,filippo bottino,OR,Weightlifting,825kg onetwo hand 3 events heavyweight,Antwerp,1920,men
0,0,USA,thomas burke,12.000,Athletics,100m,Athens,1896,men
1,1,GER,fritz hofmann,at 2 metres,Athletics,100m,Athens,1896,men
2,2,HUN,alajos szokolyi,at 4 metres,Athletics,100m,Athens,1896,men
20,0,USA,tom curtis,17.600,Athletics,110m hurdles,Athens,1896,men
21,1,GBR,grantley goulding,at 0.05 metres,Athletics,110m hurdles,Athens,1896,men
35,0,AUS,edwin flack,00:04:33.200,Athletics,1500m,Athens,1896,men
36,1,USA,arthur blake,at 2-10 metres,Athletics,1500m,Athens,1896,men
37,2,FRA,albin lermusiaux,at 6-15 metres,Athletics,1500m,Athens,1896,men
47,0,USA,thomas burke,54.200,Athletics,400m,Athens,1896,men
48,1,USA,herbert jamison,55.200,Athletics,400m,Athens,1896,men
49,2,GBR,charles gmelin,at 15-20 metres,Athletics,400m,Athens,1896,men
63,0,AUS,edwin flack,00:02:11.000,Athletics,800m,Athens,1896,men
64,1,HUN,nandor dani,00:02:11.800,Athletics,800m,Athens,1896,men
65,2,GRE,dimitrios golemis,at 20-100 metres,Athletics,800m,Athens,1896,men
74,0,USA,bob garrett,WR,Athletics,discus throw,Athens,1896,men
75,1,GRE,panagiotis paraskevopoulos,WR,Athletics,discus throw,Athens,1896,men
87,0,USA,ellery clark,1.81,Athletics,high jump,Athens,1896,men
88,1,USA,bob garrett,1.65,Athletics,high jump,Athens,1896,men
89,2,USA,james brendan connolly,1.65,Athletics,high jump,Athens,1896,men
107,0,USA,ellery clark,OR,Athletics,long jump,Athens,1896,men
130,0,GRE,spyridon louis,02:58:50.000,Athletics,marathon,Athens,1896,men
131,1,GRE,kharilaos vasilakos,03:06:03.000,Athletics,marathon,Athens,1896,men
132,2,HUN,gyula kellner,03:06:35.000,Athletics,marathon,Athens,1896,men
152,0,USA,william welles hoyt,3.3,Athletics,pole vault,Athens,1896,men
153,1,USA,albert tyler,3.2,Athletics,pole vault,Athens,1896,men
154,2,GRE,evangelos damaskos,2.6,Athletics,pole vault,Athens,1896,men
173,0,USA,bob garrett,OR,Athletics,shot put,Athens,1896,men
192,0,USA,james brendan connolly,OR,Athletics,triple jump,Athens,1896,men
0,0,GRE,ioannis malokinis,00:02:20.400,Swimming,100m freestyle for sailors,Athens,1896,men
9,0,HUN,alfred hajos,00:01:22.200,Swimming,100m freestyle,Athens,1896,men
10,1,AUT,otto herschmann,00:01:22.800,Swimming,100m freestyle,Athens,1896,men
44,0,HUN,alfred hajos,00:18:22.200,Swimming,1200m freestyle,Athens,1896,men
45,1,GRE,ioannis andreou,00:21:03.400,Swimming,1200m freestyle,Athens,1896,men
67,0,AUT,paul neumann,00:08:12.600,Swimming,400m freestyle,Athens,1896,men
68,1,GRE,antonios pepanos,00:09:57.600,Swimming,400m freestyle,Athens,1896,men
0,0,GBR,launceston elliot,71.0,Weightlifting,heavyweight - one hand lift,Athens,1896,men
1,1,DEN,viggo jensen,57.0,Weightlifting,heavyweight - one hand lift,Athens,1896,men
2,2,GRE,alexandros nikolopoulos,57.0,Weightlifting,heavyweight - one hand lift,Athens,1896,men
4,0,DEN,viggo jensen,111.5,Weightlifting,heavyweight - two hand lift,Athens,1896,men
5,1,GBR,launceston elliot,111.5,Weightlifting,heavyweight - two hand lift,Athens,1896,men
6,2,GRE,sotirios versis,90.0,Weightlifting,heavyweight - two hand lift,Athens,1896,men
0,0,ETH,kenenisa bekele,00:27:05.100,Athletics,10000m,Athens,2004,men
1,1,ETH,sileshi sihine,00:27:09.390,Athletics,10000m,Athens,2004,men
2,2,ERI,zersenay tadesse,00:27:22.570,Athletics,10000m,Athens,2004,men
24,0,CHN,huina xing,00:30:24.360,Athletics,10000m,Athens,2004,women
25,1,ETH,ejegayehu dibaba,00:30:24.980,Athletics,10000m,Athens,2004,women
26,2,ETH,derartu tulu,00:30:26.420,Athletics,10000m,Athens,2004,women
55,0,USA,joanna hayes,12.370,Athletics,100m hurdles,Athens,2004,women
56,1,UKR,olena ovcharova-krasovska,12.450,Athletics,100m hurdles,Athens,2004,women
57,2,USA,melissa morrison,12.560,Athletics,100m hurdles,Athens,2004,women
66,0,USA,justin gatlin,09.850,Athletics,100m,Athens,2004,men
67,1,POR,francis obikwelu,09.860,Athletics,100m,Athens,2004,men
68,2,USA,maurice greene,09.870,Athletics,100m,Athens,2004,men
78,0,BLR,yuliya nestsiarenka,10.930,Athletics,100m,Athens,2004,women
79,1,USA,lauryn williams,10.960,Athletics,100m,Athens,2004,women
80,2,JAM,veronica campbell-brown,10.970,Athletics,100m,Athens,2004,women
88,0,CHN,xiang liu,12.910,Athletics,110m hurdles,Athens,2004,men
89,1,USA,terrence trammell,13.180,Athletics,110m hurdles,Athens,2004,men
90,2,CUB,anier garcia,13.200,Athletics,110m hurdles,Athens,2004,men
100,0,MAR,hicham el guerrouj,00:03:34.180,Athletics,1500m,Athens,2004,men
101,1,KEN,bernard lagat,00:03:34.300,Athletics,1500m,Athens,2004,men
102,2,POR,rui silva,00:03:34.680,Athletics,1500m,Athens,2004,men
115,0,GBR,kelly holmes,00:03:57.900,Athletics,1500m,Athens,2004,women
116,1,RUS,tatyana tomashova,00:03:58.120,Athletics,1500m,Athens,2004,women
117,2,ROU,maria cioncan,00:03:58.390,Athletics,1500m,Athens,2004,women
131,0,USA,shawn crawford,19.790,Athletics,200m,Athens,2004,men
132,1,USA,bernard williams,20.010,Athletics,200m,Athens,2004,men
133,2,USA,justin gatlin,20.030,Athletics,200m,Athens,2004,men
141,0,JAM,veronica campbell-brown,22.050,Athletics,200m,Athens,2004,women
142,1,USA,allyson felix,22.180,Athletics,200m,Athens,2004,women
143,2,BAH,debbie ferguson-mckenzie,22.300,Athletics,200m,Athens,2004,women
150,0,GRE,athanasia tsoumeleka,01:29:12.000,Athletics,20km race walk,Athens,2004,women
151,1,RUS,olimpiada ivanova,01:29:16.000,Athletics,20km race walk,Athens,2004,women
152,2,AUS,jane saville,01:29:25.000,Athletics,20km race walk,Athens,2004,women
207,0,ITA,ivano brugnetti,01:19:40.000,Athletics,20km walk,Athens,2004,men
208,1,ESP,francisco javier fernandez,01:19:45.000,Athletics,20km walk,Athens,2004,men
